Equipment number;CNB0100003974;;;Life(%);94
Time;Eq. NO2 (oxidant gases) Level (µg/m3);Bat.(mV) ;Temp. °C;Humidity %;
19/06/2018 13:24:00;11.484;4060;25;49;
19/06/2018 13:25:00;28.71;4060;24;51;
19/06/2018 13:26:00;45.936;4060;25;51;
19/06/2018 13:27:00;28.71;4060;25;51;
19/06/2018 13:28:00;7.656;4060;25;50;
19/06/2018 13:29:00;13.398;4060;25;49;
19/06/2018 13:30:00;13.398;4060;25;49;
19/06/2018 13:31:00;7.656;4060;25;49;
19/06/2018 13:32:00;9.57;4060;25;48;
19/06/2018 13:33:00;19.14;4060;26;48;
19/06/2018 13:34:00;15.312;4100;26;48;
19/06/2018 13:35:00;11.484;4340;26;48;
19/06/2018 13:36:00;0;4400;28;45;
19/06/2018 13:37:00;0;4440;29;42;
19/06/2018 13:38:00;0;4480;30;40;
19/06/2018 13:39:00;0;4500;30;39;
19/06/2018 13:40:00;1.914;4520;30;39;
19/06/2018 13:41:00;0;4520;30;39;
19/06/2018 13:42:00;5.742;4540;30;39;
19/06/2018 13:43:00;5.742;4540;30;39;
19/06/2018 13:44:00;3.828;4560;30;39;
19/06/2018 13:45:00;9.57;4560;30;39;
19/06/2018 13:46:00;7.656;4580;30;39;
19/06/2018 13:47:00;9.57;4580;30;39;
19/06/2018 13:48:00;7.656;4600;30;39;
19/06/2018 13:49:00;7.656;4600;30;39;
19/06/2018 13:50:00;7.656;4620;30;39;
19/06/2018 13:51:00;11.484;4620;30;39;
19/06/2018 13:52:00;13.398;4640;30;39;
19/06/2018 13:53:00;13.398;4640;30;39;
19/06/2018 13:54:00;9.57;4640;30;39;
19/06/2018 13:55:00;15.312;4640;30;39;
19/06/2018 13:56:00;9.57;4660;30;40;
19/06/2018 13:57:00;13.398;4660;30;40;
19/06/2018 13:58:00;15.312;4660;30;40;
19/06/2018 13:59:00;15.312;4660;30;40;
19/06/2018 14:00:00;17.226;4660;29;40;
19/06/2018 14:01:00;19.14;4680;29;40;
19/06/2018 14:02:00;11.484;4680;29;41;
19/06/2018 14:03:00;15.312;4680;29;41;
19/06/2018 14:04:00;19.14;4680;29;41;
19/06/2018 14:05:00;19.14;4680;29;41;
19/06/2018 14:06:00;15.312;4680;29;41;
19/06/2018 14:07:00;15.312;4680;29;41;
19/06/2018 14:08:00;19.14;4680;29;41;
19/06/2018 14:09:00;22.968;4700;29;41;
19/06/2018 14:10:00;13.398;4720;29;41;
19/06/2018 14:11:00;19.14;4720;29;42;
19/06/2018 14:12:00;24.882;4720;29;42;
19/06/2018 14:13:00;21.054;4720;29;43;
19/06/2018 14:14:00;22.968;4720;29;43;
19/06/2018 14:15:00;17.226;4720;28;43;
19/06/2018 14:16:00;15.312;4720;28;43;
19/06/2018 14:17:00;13.398;4720;28;43;
19/06/2018 14:18:00;19.14;4720;28;43;
19/06/2018 14:19:00;19.14;4720;28;43;
19/06/2018 14:20:00;19.14;4720;28;43;
19/06/2018 14:21:00;13.398;4720;28;43;
19/06/2018 14:22:00;11.484;4720;28;43;
19/06/2018 14:23:00;15.312;4720;28;43;
19/06/2018 14:24:00;13.398;4720;28;43;
19/06/2018 14:25:00;17.226;4720;28;43;
19/06/2018 14:26:00;19.14;4720;28;43;
19/06/2018 14:27:00;19.14;4720;28;43;
19/06/2018 14:28:00;17.226;4720;28;43;
19/06/2018 14:29:00;15.312;4720;28;43;
19/06/2018 14:30:00;15.312;4720;28;43;
19/06/2018 14:31:00;17.226;4720;28;43;
19/06/2018 14:32:00;17.226;4720;28;43;
19/06/2018 14:33:00;15.312;4720;28;43;
19/06/2018 14:34:00;13.398;4720;28;43;
19/06/2018 14:35:00;11.484;4720;28;43;
19/06/2018 14:36:00;11.484;4720;28;43;
19/06/2018 14:37:00;11.484;4720;28;43;
19/06/2018 14:38:00;15.312;4720;28;43;
19/06/2018 14:39:00;15.312;4720;28;43;
19/06/2018 14:40:00;13.398;4720;28;43;
19/06/2018 14:41:00;13.398;4720;28;43;
19/06/2018 14:42:00;13.398;4720;28;43;
19/06/2018 14:43:00;13.398;4720;28;43;
19/06/2018 14:44:00;15.312;4720;28;43;
19/06/2018 14:45:00;9.57;4720;28;43;
19/06/2018 14:46:00;9.57;4720;28;43;
19/06/2018 14:47:00;7.656;4720;28;43;
19/06/2018 14:48:00;13.398;4720;28;42;
19/06/2018 14:49:00;11.484;4720;28;42;
19/06/2018 14:50:00;7.656;4720;28;42;
19/06/2018 14:51:00;9.57;4720;28;42;
19/06/2018 14:52:00;11.484;4720;28;42;
19/06/2018 14:53:00;11.484;4720;28;42;
19/06/2018 14:54:00;13.398;4720;28;42;
19/06/2018 14:55:00;11.484;4720;28;42;
19/06/2018 14:56:00;13.398;4720;28;42;
19/06/2018 14:57:00;11.484;4720;28;42;
19/06/2018 14:58:00;15.312;4720;28;42;
19/06/2018 14:59:00;13.398;4720;28;42;
19/06/2018 15:00:00;15.312;4720;28;42;
19/06/2018 15:01:00;17.226;4720;28;42;
19/06/2018 15:02:00;21.054;4720;28;42;
19/06/2018 15:03:00;19.14;4720;28;42;
19/06/2018 15:04:00;13.398;4720;28;42;
19/06/2018 15:05:00;13.398;4720;29;42;
19/06/2018 15:06:00;15.312;4720;29;42;
19/06/2018 15:07:00;15.312;4720;29;42;
19/06/2018 15:08:00;13.398;4720;29;42;
19/06/2018 15:09:00;17.226;4720;29;42;
19/06/2018 15:10:00;15.312;4720;29;42;
19/06/2018 15:11:00;19.14;4720;29;42;
19/06/2018 15:12:00;15.312;4720;29;42;
19/06/2018 15:13:00;17.226;4720;29;42;
19/06/2018 15:14:00;19.14;4720;29;42;
19/06/2018 15:15:00;19.14;4720;29;42;
19/06/2018 15:16:00;19.14;4720;29;42;
19/06/2018 15:17:00;21.054;4720;29;42;
19/06/2018 15:18:00;21.054;4720;29;42;
19/06/2018 15:19:00;19.14;4720;29;42;
19/06/2018 15:20:00;17.226;4720;29;42;
19/06/2018 15:21:00;19.14;4720;29;42;
19/06/2018 15:22:00;15.312;4720;29;42;
19/06/2018 15:23:00;11.484;4720;29;42;
19/06/2018 15:24:00;19.14;4720;29;42;
19/06/2018 15:25:00;19.14;4720;29;42;
19/06/2018 15:26:00;22.968;4720;29;42;
19/06/2018 15:27:00;19.14;4720;29;42;
19/06/2018 15:28:00;17.226;4720;29;42;
19/06/2018 15:29:00;21.054;4720;29;42;
19/06/2018 15:30:00;22.968;4720;29;42;
19/06/2018 15:31:00;21.054;4720;29;42;
19/06/2018 15:32:00;19.14;4720;29;42;
19/06/2018 15:33:00;21.054;4720;29;42;
19/06/2018 15:34:00;19.14;4720;29;42;
19/06/2018 15:35:00;13.398;4720;29;42;
19/06/2018 15:36:00;15.312;4720;29;42;
19/06/2018 15:37:00;22.968;4720;29;42;
19/06/2018 15:38:00;17.226;4720;29;42;
19/06/2018 15:39:00;19.14;4720;29;42;
19/06/2018 15:40:00;15.312;4720;29;42;
19/06/2018 15:41:00;19.14;4720;29;42;
19/06/2018 15:42:00;13.398;4720;29;42;
19/06/2018 15:43:00;13.398;4720;29;42;
19/06/2018 15:44:00;17.226;4720;29;42;
19/06/2018 15:45:00;15.312;4720;29;42;
19/06/2018 15:46:00;17.226;4720;29;42;
19/06/2018 15:47:00;15.312;4720;29;42;
19/06/2018 15:48:00;17.226;4720;29;42;
19/06/2018 15:49:00;17.226;4720;29;42;
19/06/2018 15:50:00;11.484;4720;29;42;
19/06/2018 15:51:00;9.57;4720;29;42;
19/06/2018 15:52:00;15.312;4720;29;42;
19/06/2018 15:53:00;19.14;4720;29;42;
19/06/2018 15:54:00;13.398;4720;29;42;
19/06/2018 15:55:00;15.312;4720;29;42;
19/06/2018 15:56:00;17.226;4720;29;42;
19/06/2018 15:57:00;17.226;4720;29;42;
19/06/2018 15:58:00;17.226;4720;29;42;
19/06/2018 15:59:00;13.398;4720;29;42;
19/06/2018 16:00:00;13.398;4720;29;42;
19/06/2018 16:01:00;17.226;4720;29;42;
19/06/2018 16:02:00;15.312;4720;29;42;
19/06/2018 16:03:00;17.226;4720;29;42;
19/06/2018 16:04:00;21.054;4720;29;42;
19/06/2018 16:05:00;15.312;4720;29;42;
19/06/2018 16:06:00;22.968;4720;29;42;
19/06/2018 16:07:00;17.226;4720;29;42;
19/06/2018 16:08:00;22.968;4720;29;42;
19/06/2018 16:09:00;21.054;4720;29;42;
19/06/2018 16:10:00;24.882;4720;29;42;
19/06/2018 16:11:00;28.71;4720;29;42;
19/06/2018 16:12:00;21.054;4720;29;42;
19/06/2018 16:13:00;28.71;4720;29;42;
19/06/2018 16:14:00;17.226;4720;29;42;
19/06/2018 16:15:00;17.226;4720;29;42;
19/06/2018 16:16:00;19.14;4720;29;41;
19/06/2018 16:17:00;24.882;4720;29;41;
19/06/2018 16:18:00;21.054;4720;29;41;
19/06/2018 16:19:00;24.882;4720;29;41;
19/06/2018 16:20:00;19.14;4720;29;41;
19/06/2018 16:21:00;17.226;4720;29;41;
19/06/2018 16:22:00;19.14;4720;29;41;
19/06/2018 16:23:00;17.226;4720;29;41;
19/06/2018 16:24:00;22.968;4720;29;41;
19/06/2018 16:25:00;21.054;4720;29;41;
19/06/2018 16:26:00;24.882;4720;29;42;
19/06/2018 16:27:00;22.968;4720;29;42;
19/06/2018 16:28:00;15.312;4720;29;42;
19/06/2018 16:29:00;24.882;4720;29;41;
19/06/2018 16:30:00;17.226;4720;29;41;
19/06/2018 16:31:00;17.226;4720;29;41;
19/06/2018 16:32:00;13.398;4720;29;41;
19/06/2018 16:33:00;15.312;4720;29;41;
19/06/2018 16:34:00;17.226;4720;29;41;
19/06/2018 16:35:00;26.796;4720;29;41;
19/06/2018 16:36:00;19.14;4720;29;41;
19/06/2018 16:37:00;21.054;4720;29;41;
19/06/2018 16:38:00;21.054;4720;29;41;
19/06/2018 16:39:00;17.226;4720;29;41;
19/06/2018 16:40:00;17.226;4720;29;41;
19/06/2018 16:41:00;15.312;4720;29;41;
19/06/2018 16:42:00;13.398;4720;29;41;
19/06/2018 16:43:00;15.312;4720;29;41;
19/06/2018 16:44:00;17.226;4720;29;41;
19/06/2018 16:45:00;19.14;4720;29;41;
19/06/2018 16:46:00;15.312;4720;29;41;
19/06/2018 16:47:00;13.398;4720;29;41;
19/06/2018 16:48:00;17.226;4720;29;41;
19/06/2018 16:49:00;19.14;4720;29;41;
19/06/2018 16:50:00;19.14;4720;29;41;
19/06/2018 16:51:00;13.398;4720;29;41;
19/06/2018 16:52:00;15.312;4720;29;41;
19/06/2018 16:53:00;19.14;4720;29;41;
19/06/2018 16:54:00;21.054;4720;29;41;
19/06/2018 16:55:00;19.14;4720;29;41;
19/06/2018 16:56:00;21.054;4720;29;41;
19/06/2018 16:57:00;21.054;4720;29;41;
19/06/2018 16:58:00;17.226;4720;29;41;
19/06/2018 16:59:00;17.226;4720;29;41;
19/06/2018 17:00:00;22.968;4720;29;41;
19/06/2018 17:01:00;24.882;4720;29;41;
19/06/2018 17:02:00;21.054;4720;29;41;
19/06/2018 17:03:00;19.14;4720;29;41;
19/06/2018 17:04:00;17.226;4720;29;41;
19/06/2018 17:05:00;17.226;4720;29;41;
19/06/2018 17:06:00;17.226;4720;30;41;
19/06/2018 17:07:00;11.484;4720;30;41;
19/06/2018 17:08:00;13.398;4720;30;41;
19/06/2018 17:09:00;15.312;4720;30;41;
19/06/2018 17:10:00;21.054;4720;30;41;
19/06/2018 17:11:00;22.968;4720;30;41;
19/06/2018 17:12:00;24.882;4720;29;41;
19/06/2018 17:13:00;32.538;4720;29;41;
19/06/2018 17:14:00;26.796;4720;29;42;
19/06/2018 17:15:00;28.71;4720;29;42;
19/06/2018 17:16:00;24.882;4720;29;42;
19/06/2018 17:17:00;24.882;4720;29;42;
19/06/2018 17:18:00;19.14;4720;29;42;
19/06/2018 17:19:00;30.624;4720;29;42;
19/06/2018 17:20:00;24.882;4720;29;42;
19/06/2018 17:21:00;22.968;4720;29;42;
19/06/2018 17:22:00;22.968;4720;29;42;
19/06/2018 17:23:00;21.054;4720;29;42;
19/06/2018 17:24:00;26.796;4720;29;42;
19/06/2018 17:25:00;21.054;4720;29;42;
19/06/2018 17:26:00;21.054;4720;29;42;
19/06/2018 17:27:00;19.14;4720;29;42;
19/06/2018 17:28:00;24.882;4720;29;42;
19/06/2018 17:29:00;21.054;4720;29;42;
19/06/2018 17:30:00;19.14;4720;29;42;
19/06/2018 17:31:00;17.226;4720;29;42;
19/06/2018 17:32:00;22.968;4720;29;42;
19/06/2018 17:33:00;19.14;4720;29;42;
19/06/2018 17:34:00;17.226;4720;29;42;
19/06/2018 17:35:00;22.968;4720;29;42;
19/06/2018 17:36:00;17.226;4720;29;42;
19/06/2018 17:37:00;19.14;4720;29;42;
19/06/2018 17:38:00;21.054;4720;29;42;
19/06/2018 17:39:00;21.054;4720;29;42;
19/06/2018 17:40:00;17.226;4720;29;42;
19/06/2018 17:41:00;19.14;4720;29;42;
19/06/2018 17:42:00;19.14;4720;29;42;
19/06/2018 17:43:00;15.312;4720;29;42;
19/06/2018 17:44:00;17.226;4720;29;42;
19/06/2018 17:45:00;22.968;4720;29;42;
19/06/2018 17:46:00;36.366;4480;29;42;
19/06/2018 17:47:00;17.226;4160;29;42;
19/06/2018 17:48:00;17.226;4160;29;41;
19/06/2018 17:49:00;21.054;4160;29;41;
19/06/2018 17:50:00;24.882;4160;29;41;
19/06/2018 17:51:00;24.882;4160;29;41;
19/06/2018 17:52:00;22.968;4160;29;41;
19/06/2018 17:53:00;28.71;4160;29;41;
19/06/2018 17:54:00;22.968;4160;29;41;
19/06/2018 17:55:00;24.882;4160;29;41;
