id, node_id, server_timestamp, timestamp, type_id, value_num, value_str
42710875, 3566907722371345, 2018-04-05 19:52:34, 2018-04-05 19:49:24, 9, 0, 
42710882, 3566907722371345, 2018-04-05 19:52:37, 2018-04-05 19:49:24, 5, 1, 
42710883, 3566907722371345, 2018-04-05 19:52:37, 2018-04-05 19:49:24, 11, 0, 
42710884, 35669077252071345, 2018-04-05 19:53:08, 2018-04-05 19:51:22, 1, 48.8667182922, 
42710885, 35669077252071345, 2018-04-05 19:53:08, 2018-04-05 19:51:22, 2, 2.33338999748, 
42710886, 35669077252071345, 2018-04-05 19:53:08, 2018-04-05 19:51:22, 3, 0, 
42710887, 35669077252071345, 2018-04-05 19:53:08, 2018-04-05 19:51:22, 4, 22.8, 
42710894, 35669077111271345, 2018-04-05 19:53:11, 2018-04-05 19:52:11, 1, 48.8667297363, 
42710895, 35669077252071345, 2018-04-05 19:53:11, 2018-04-05 19:51:22, 6, 1016.6, 
42710896, 35669077252071345, 2018-04-05 19:53:11, 2018-04-05 19:51:22, 7, 3, 
42710897, 35669077111271345, 2018-04-05 19:53:11, 2018-04-05 19:52:11, 2, 2.33333992958, 
42710898, 35669077111271345, 2018-04-05 19:53:11, 2018-04-05 19:52:11, 3, 0, 
42710899, 35669077111271345, 2018-04-05 19:53:11, 2018-04-05 19:52:11, 15, 0, 
42710900, 35669077111271345, 2018-04-05 19:53:13, 2018-04-05 19:51:21, 1, 48.8667297363, 
42710901, 35669077111271345, 2018-04-05 19:53:13, 2018-04-05 19:51:21, 2, 2.33333992958, 
42710903, 35669077111271345, 2018-04-05 19:53:13, 2018-04-05 19:51:21, 3, 0, 
42710907, 35669077111271345, 2018-04-05 19:53:13, 2018-04-05 19:51:21, 4, 22.7, 
42710911, 35669077111271345, 2018-04-05 19:53:14, 2018-04-05 19:51:21, 6, 1014.8, 
42710914, 35669077252071345, 2018-04-05 19:53:14, 2018-04-05 19:51:22, 9, 2, 
42710915, 35669077252071345, 2018-04-05 19:53:14, 2018-04-05 19:51:22, 8, 4, 
