id, timestamp, node_id, node_name, gps_lat, gps_lng, gps_alt, temperatre, humidity, pressure, pm2.5, pm10, pm1.0, formaldehyde, no2,bc
1349,2018-03-06 21:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.8,973,,,,,,
1355,2018-03-06 21:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.8,973.1,,,,,,
1362,2018-03-06 21:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.8,973.1,,,,,,
1372,2018-03-06 21:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.8,973.1,,,,,,
1379,2018-03-06 21:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.9,973.1,,,,,,
1386,2018-03-06 21:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.9,973.1,,,,,,
1392,2018-03-06 21:32:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.8,973.1,,,,,,
1400,2018-03-06 21:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.8,973,,,,,,
1405,2018-03-06 21:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.1, 28.7,973,,,,,,
1415,2018-03-06 21:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.7,973,,,,,,
1425,2018-03-06 21:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.8,973.1,,,,,,
1432,2018-03-06 21:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23, 28.6,973.1,,,,,,
1438,2018-03-06 21:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.7,973.1,,,,,,
1445,2018-03-06 21:47:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.7,973.1,,,,,,
1453,2018-03-06 21:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.7,973.1,,,,,,
1460,2018-03-06 21:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.7,973.1,,,,,,
1466,2018-03-06 21:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.6,973.1,,,,,,
1477,2018-03-06 21:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.6,973.1,,,,,,
1485,2018-03-06 21:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.6,973.1,,,,,,
1490,2018-03-06 21:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.6,973.1,,,,,,
1501,2018-03-06 22:02:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.5,973.1,,,,,,
1504,2018-03-06 22:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.5,973.1,,,,,,
1512,2018-03-06 22:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.4, 28.6,973.1,,,,,,
1519,2018-03-06 22:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.5,973.2,,,,,,
1528,2018-03-06 22:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.4,973.2,,,,,,
1536,2018-03-06 22:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.5,973.1,,,,,,
1542,2018-03-06 22:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.4,973.1,,,,,,
1550,2018-03-06 22:17:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.5,973.2,,,,,,
1558,2018-03-06 22:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.5,973.2,,,,,,
1564,2018-03-06 22:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.4, 28.5,973,,,,,,
1571,2018-03-06 22:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.4,973.1,,,,,,
1582,2018-03-06 22:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.4,973,,,,,,
1589,2018-03-06 22:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.3,973,,,,,,
1595,2018-03-06 22:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.3,973,,,,,,
