id,timestamp,node_id, gps_lat, gps_lng, gps_alt, temperatre, humidity,pressure,pm2.5,pm10,pm1.0,formaldehyde,no2
6475346,2018-04-10 18:25:54+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.3,996.6,6,8,3,0.0143800001144,
6475347,2018-04-10 18:27:28+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.3,996.6,6,6,3,0.015,
6475348,2018-04-10 18:29:02+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.5,996.5,5,6,3,0.0153199996948,
6475349,2018-04-10 18:30:36+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.5,996.6,5,5,3,0.0132899999619,
6475350,2018-04-10 18:32:10+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.6,996.7,5,6,2,0.0136199998856,
6475351,2018-04-10 18:33:44+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.5,996.6,5,5,3,0.015,
6475352,2018-04-10 18:35:18+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.5,996.7,4,5,2,0.0147700004578,
6475353,2018-04-10 18:36:51+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.4,996.7,5,6,3,0.0145200004578,
6475354,2018-04-10 18:38:25+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.5,996.7,5,5,2,0.015,
6475355,2018-04-10 18:39:59+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.8,996.8,4,5,2,0.014970000267,
6475356,2018-04-10 18:41:33+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.6,996.7,3,4,2,0.0151199998856,
6475357,2018-04-10 18:43:07+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.6, 26.9,996.7,4,5,2,0.0149200000763,
6475358,2018-04-10 18:44:41+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 27,996.7,4,4,1,0.0148800001144,
6475359,2018-04-10 18:46:15+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 27,996.7,4,4,2,0.015,
6475360,2018-04-10 18:47:49+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 27,996.7,4,4,2,0.0143900003433,
6475361,2018-04-10 18:49:23+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.6,996.7,3,4,1,0.0140200004578,
6475362,2018-04-10 18:50:57+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.6,996.7,3,4,2,0.0133299999237,
6475363,2018-04-10 18:52:31+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.6,996.7,4,4,2,0.0130500001907,
6475364,2018-04-10 18:54:04+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.5,996.7,3,3,1,0.0130200004578,
6475365,2018-04-10 18:55:38+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.7, 26.5,996.8,4,5,2,0.012970000267,
6475366,2018-04-10 18:57:12+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.5,996.8,3,4,1,0.012970000267,
6475367,2018-04-10 18:58:46+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.4,996.8,3,5,1,0.013,
6475368,2018-04-10 19:00:20+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.4,996.8,3,3,1,0.013,
6475369,2018-04-10 19:01:54+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.4,996.8,3,4,2,0.0133500003815,
6475370,2018-04-10 19:03:28+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.3,996.8,3,3,2,0.0131700000763,
6475371,2018-04-10 19:05:02+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.3,996.8,3,4,1,0.0136499996185,
6475372,2018-04-10 19:06:36+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.3,996.8,4,4,2,0.0131999998093,
6475373,2018-04-10 19:08:10+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.7, 26.2,996.8,3,3,1,0.0132100000381,
6475374,2018-04-10 19:09:44+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.3,996.8,2,2,1,0.0135500001907,
6475375,2018-04-10 19:11:18+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.2,996.8,3,4,2,0.0136999998093,
6475376,2018-04-10 19:12:52+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.4, 26.3,996.8,4,4,2,0.013779999733,
6475377,2018-04-10 19:14:25+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.6, 26.3,996.9,2,3,1,0.0136099996567,
6475378,2018-04-10 19:15:59+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.2,996.8,4,5,2,0.0139799995422,
6475379,2018-04-10 19:17:33+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.2, 26.2,996.9,3,4,1,0.0136099996567,
6475380,2018-04-10 19:19:07+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.2,996.8,3,3,2,0.0134200000763,
6475381,2018-04-10 19:20:41+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.2,996.8,2,2,1,0.0134499998093,
6475382,2018-04-10 19:22:15+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.7, 26.1,996.9,3,4,2,0.0137100000381,
6475383,2018-04-10 19:23:48+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.1,996.9,3,4,2,0.0146199998856,
6475384,2018-04-10 19:25:22+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.2,996.9,2,3,1,0.0146099996567,
6475385,2018-04-10 19:26:56+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.3, 26.3,996.9,3,4,1,0.0147100000381,
6475386,2018-04-10 19:28:30+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.4,996.8,3,3,1,0.0143800001144,
6475387,2018-04-10 19:30:04+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.4,996.8,3,3,1,0.0152399997711,
6475388,2018-04-10 19:31:38+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.5, 26.7,996.9,3,4,2,0.0141999998093,
6475389,2018-04-10 19:33:12+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.7, 26.2,997,2,3,1,0.0161399993896,
6475390,2018-04-10 19:34:46+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.9, 26,997,3,3,2,0.0163500003815,
6475391,2018-04-10 19:36:20+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 27.9, 26.1,997,3,3,2,0.0167600002289,
6475392,2018-04-10 19:37:54+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 28, 26.5,996.9,2,2,1,0.015970000267,
6475393,2018-04-10 19:39:28+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 28.3, 26.3,996.9,2,2,1,0.0172999992371,
6475394,2018-04-10 19:41:02+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 28.1, 26.4,997,2,3,1,0.0153199996948,
6475395,2018-04-10 19:42:35+03, 43172183222041345, 48.866771698, 2.33338999748, 0, 28, 26.5,,2,3,1,0.0176100006104,
